CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
8784	145.79291	1081123605	0.32854	1.18533	145.29846	0.49445	269	1	0.33866	1.14282	1	0.33238	1.23177	1	0.33552	1.18730	1	0.22458	0.54735	25.80273	1.03601	1	0.66699	0.52582	25.79994	1.04236	1	-0.03740	-0.00410	0.60680	0.00493	1	0.02246	-0.00227	0.60637	0.00491	1	0.97917	0.31852	0	0
8785	145.80930	1081177898	0.32871	1.18516	145.29846	0.51083	269	1	0.33912	1.13182	1	0.32847	1.22814	1	0.33380	1.17998	1	0.22462	0.54732	25.90487	1.03567	1	0.66686	0.52591	26.13848	1.04202	1	-0.03740	-0.00410	0.60680	0.00493	1	0.02246	-0.00227	0.60637	0.00491	1	0.97917	0.31852	0	0
8786	145.82591	1081232926	0.32886	1.18500	145.29846	0.52745	269	1	0.33915	1.13181	1	0.32844	1.22815	1	0.33379	1.17998	1	0.22464	0.54741	25.94886	1.03533	1	0.66676	0.52578	25.94734	1.04168	1	-0.03859	-0.00418	0.62620	0.00505	1	0.02246	-0.00227	0.60637	0.00492	1	0.97917	0.31852	0	0
8787	145.84242	1081287629	0.32900	1.18503	145.29846	0.54396	269	1	0.34942	1.13575	1	0.31779	1.23612	1	0.33361	1.18594	1	0.22477	0.54738	26.07965	1.04168	1	0.66646	0.52551	25.90418	1.04168	1	-0.03859	-0.00418	0.62620	0.00505	1	0.02246	-0.00227	0.60637	0.00492	1	0.97917	0.31852	0	0
8788	145.85866	1081341418	0.32911	1.18511	145.29846	0.56020	269	1	0.35361	1.13847	1	0.31238	1.23705	1	0.33299	1.18776	1	0.22477	0.54738	26.07965	1.04168	1	0.66645	0.52552	25.91823	1.04168	1	-0.03859	-0.00418	0.62620	0.00505	1	0.02246	-0.00227	0.60637	0.00492	1	0.97917	0.31852	0	0
8789	145.87518	1081396128	0.32922	1.18518	145.29846	0.57672	269	1	0.35361	1.13847	1	0.31238	1.23705	1	0.33299	1.18776	1	0.22477	0.54739	26.07830	1.04168	1	0.66645	0.52552	25.91823	1.04168	1	-0.03740	-0.00410	0.60680	0.00495	1	0.02246	-0.00227	0.60637	0.00491	1	0.97917	0.31852	0	0
8790	145.89178	1081451170	0.32889	1.18546	145.29846	0.59332	269	1	0.32969	1.14403	1	0.30436	1.24716	1	0.31703	1.19559	1	0.22500	0.54760	26.13397	1.04168	1	0.66649	0.52585	25.89369	1.04168	1	-0.03740	-0.00410	0.60680	0.00495	1	0.02246	-0.00227	0.60637	0.00491	1	0.97917	0.31852	0	0
8791	145.90829	1081505820	0.32878	1.18574	145.29846	0.60983	269	1	0.33927	1.14562	1	0.30960	1.24602	1	0.32444	1.19582	1	0.22509	0.54767	26.09396	1.04168	1	0.66645	0.52597	25.84202	1.04168	1	-0.03740	-0.00410	0.60680	0.00495	1	0.02246	-0.00227	0.60637	0.00491	1	0.97917	0.31852	0	0
8792	145.92479	1081560483	0.32866	1.18600	145.29846	0.62633	269	1	0.33927	1.14562	1	0.30960	1.24602	1	0.32444	1.19582	1	0.22509	0.54767	26.09396	1.04168	1	0.66645	0.52597	25.84202	1.04168	1	-0.03740	-0.00410	0.60680	0.00495	1	0.02246	-0.00227	0.60637	0.00490	1	0.97917	0.31852	0	0
8793	145.94116	1081614734	0.32858	1.18627	145.29846	0.64270	269	1	0.33930	1.14020	1	0.31157	1.25408	1	0.32543	1.19714	1	0.22518	0.54758	26.27061	1.04168	1	0.66647	0.52620	25.92695	1.04168	1	-0.03740	-0.00410	0.60680	0.00495	1	0.02246	-0.00227	0.60637	0.00490	1	0.97917	0.31852	0	0
